repo,star,fork
github.com/aquasecurity/trivy,22506,2220
github.com/infracost/infracost,10758,533
github.com/cloud-custodian/cloud-custodian,5330,1460
github.com/cloudskiff/driftctl,2442,152
github.com/Checkmarx/kics,1995,299
github.com/terraform-compliance/cli,1342,151
github.com/nsriram/lambda-the-terraform-way,1248,102
github.com/chadgeary/cloudblock,806,78
github.com/terraform-aws-modules/terraform-aws-iam,772,978
github.com/nccgroup/sadcloud,633,94
github.com/BishopFox/iam-vulnerable,456,84
github.com/Cigna/confectionery,191,13
github.com/DavidDikker/endgame,185,509
github.com/terraform-aws-modules/terraform-aws-pricing,180,44
github.com/garutilorenzo/k3s-aws-terraform-cluster,150,39
github.com/msfidelis/eks-with-istio,134,45
github.com/mlabouardy/pipeline-as-code-with-jenkins,132,161
github.com/dominodatalab/domino-research,76,8
github.com/msfidelis/ecs-microservices-orchestration,76,15
github.com/galaxyproject/admin-training,60,62
github.com/reireias/rails-on-ecs-terraform,41,7
github.com/Verizon/5GEdgeTutorials,40,24
github.com/umotif-public/terraform-aws-elasticache-redis,40,64
github.com/ipspace/pubcloud,35,13
github.com/aws-samples/aws-apprunner-terraform,32,29
github.com/SebastianUA/terraform-aws-glue,32,32
github.com/redhat-cop/ocp-disconnected-docs,30,18
github.com/cloudquery/cq-provider-aws,29,40
github.com/C2Devel/terraform-examples,27,13
github.com/devopsloft/devopsloft,26,98
github.com/asbubam/2dal-infrastructure,26,12
github.com/clowdhaus/terraform-aws-managed-service-prometheus,26,26
github.com/DNXLabs/terraform-aws-ecs,26,31
github.com/kuromitsu0104/gadget-app,24,7
github.com/aws-samples/multi-region-org-config-rules-terraform,22,18
github.com/anneglienke/terraform101,22,1
github.com/SonarSource/sonar-iac,22,7
github.com/virtmerlin/mglab-share-eks,20,22
github.com/heldersepu/hs-scripts,19,15
github.com/cds-snc/covid-alert-server-staging-terraform,19,1
github.com/commitdev/zero-aws-eks-stack,16,9
github.com/bkrn/prolamb,16,3
github.com/dtelaroli/devops-test,15,2
github.com/andresriancho/aws-backup,15,2
github.com/in4it/roxprox,14,4
github.com/chimbs86/Security-And-Microservices-On-AWS,13,11
github.com/mesoform/terraform-infrastructure-modules,13,2
github.com/JKolios/minecraft-ondemand-terraform,13,5
github.com/sacundim/covid-19-puerto-rico,13,6
github.com/tesera/terraform-modules,12,4
github.com/18F/identity-terraform,12,7
github.com/tomaszkiewicz/terraform-modules,10,9
github.com/trussworks/terraform-aws-org-scp,10,7
github.com/g31s/terraform-aws-ecs-fargate,10,6
github.com/gretelai/FluentBitLogging,10,5
github.com/alphagov/govwifi-terraform,9,5
github.com/niveklabs/aws,9,9
github.com/binbashar/terraform-aws-guardduty-multiaccount,8,5
github.com/Piroddi/aws-http-api-private-alb,8,2
github.com/GSA/grace-cloudcustodian,8,8
github.com/plus3it/terraform-aws-tardigrade-transit-gateway,8,16
github.com/Flaconi/terraform-aws-waf-acl-rules,8,4
github.com/jzbruno/terraform-aws-lex-examples,8,12
github.com/aws-samples/codeartifact-retention-policy,7,3
github.com/msfidelis/awswaf-production-automation,7,0
github.com/cloud-security-labs/terraform-aws-sso,7,5
github.com/18F/formservice-iac-modules,6,4
github.com/skyscrapr/terraform-cloudability-modules,6,1
github.com/purpleteam-labs/purpleteam-iac-sut,6,2
github.com/USSBA/terraform-aws-backup-plans,6,1
github.com/DNXLabs/terraform-aws-security-baseline,6,5
github.com/soapergem/aws-pinpoint-unsubscribe,6,3
github.com/jazhans/zeek_terransible_aws,6,0
github.com/hms-dbmi/avillachlab-secure-infrastructure,5,1
github.com/AtsushiKitano/assets,5,1
github.com/prancer-io/prancer-terramerra,5,2
github.com/prbc/farese,5,5
github.com/babbel/terraform-aws-nlb-for-apigateway-vpc-link,5,6
