repo,star,fork,path,num_boudary,num_process,num_datastore,num_dataflow,num_external_entity,num_threat,step1_time,step2_time,step3_time,step4_time,total_time,total_line_of_code
github.com/aquasecurity/trivy,22506,2220,trivy/pkg/iac/scanners/terraform/testdata/fail/,1,0,1,0,1,4,38.88929788,2.476030827,0.045150995,7.301749229,48.71222893,27
github.com/infracost/infracost,10758,533,infracost/examples/cf2tf/,1,0,3,0,1,0,39.4275081,2.103410482,0.053051949,5.934000254,47.51797079,86
github.com/cloud-custodian/cloud-custodian,5330,1460,cloud-custodian/tests/terraform/apigatewayv2_stage/,1,1,0,0,1,12,34.36583696,2.27648592,0.05871129,6.379157066,43.08019124,61
github.com/cloudskiff/driftctl,2442,152,driftctl/enumeration/remote/test/aws_cloudformation_stack_multiple/,1,0,0,0,1,0,32.53348041,2.570681334,0.045863152,6.752127647,41.90215254,67
github.com/Checkmarx/kics,1995,299,kics/cmd/builder/,1,2,2,0,1,8,34.11205012,2.006295681,0.055103779,5.521894693,41.69534427,87
github.com/terraform-compliance/cli,1342,151,cli/tests/functional/actions_for_each_and_modules/,1,2,0,0,1,12,37.44602796,2.172445059,0.053839445,5.174000263,44.84631273,155
github.com/nsriram/lambda-the-terraform-way,1248,102,lambda-the-terraform-way/samples/04/,1,1,0,0,1,12,30.11310695,1.929422617,0.047183752,5.486152411,37.57586573,54
github.com/chadgeary/cloudblock,806,78,cloudblock/aws/,2,3,3,8,1,40,35.55929762,2.820753813,0.087782621,5.31202507,43.77985912,1081
github.com/terraform-aws-modules/terraform-aws-iam,772,978,terraform-aws-iam/examples/iam-account/,1,2,0,0,1,24,30.73662572,2.076275587,0.053284407,5.750290871,38.61647659,59
github.com/nccgroup/sadcloud,633,94,sadcloud/sadcloud/,4,32,11,3,1,356,32.12204718,2.748918056,0.652612209,8.142817736,43.66639518,405
github.com/BishopFox/iam-vulnerable,456,84,iam-vulnerable/,1,44,0,0,1,528,24.79652476,8.147192001,0.427079678,7.157884121,40.52868056,3155
github.com/Cigna/confectionery,191,13,confectionery/test-files/terraform/aws/acm/,1,0,2,0,1,0,30.63184865,2.186590433,0.047236443,5.379878044,38.24555357,54
github.com/DavidDikker/endgame,185,509,endgame/terraform/,4,8,2,1,1,84,32.08289837,4.03597641,0.18227911,6.10594368,42.40709757,602
github.com/terraform-aws-modules/terraform-aws-pricing,180,44,terraform-aws-pricing/examples/complete/,1,0,0,0,1,0,35.56346959,2.444004297,0.03610754,5.10172987,43.1453113,125
github.com/garutilorenzo/k3s-aws-terraform-cluster,150,39,k3s-aws-terraform-cluster/,2,21,4,12,1,332,38.43791819,5.581080198,0.319847822,6.995240927,51.33408713,1640
github.com/msfidelis/eks-with-istio,134,45,eks-with-istio/,1,8,0,2,1,76,38.96102953,3.668605804,0.148392439,6.552245617,49.33027339,2969
github.com/mlabouardy/pipeline-as-code-with-jenkins,132,161,pipeline-as-code-with-jenkins/chapter5/,3,4,0,3,1,12,30.38899337,2.747498989,0.081742525,5.49773407,38.71596896,623
github.com/dominodatalab/domino-research,76,8,domino-research/terraform/mlflow-runtime-ecr/,1,0,0,0,1,0,20.21866822,2.014437437,0.04919672,5.856769562,28.13907194,285
